,Name,Title,Pay,Exercised,Year Born,Company Name,Yahoo Finance Code,Sector(s),Industry,Full Time Exployees,Company Address,Company Country,Company Phone,Company Website
424,Mr. Paul  Deverell,Pres of Consumer,N/A,N/A,1974,Shaw Communications Inc.,SJR-B.TO,Communication Services,Telecom Services,"9,500","630â3rd Avenue SW Suite 900 Calgary, AB T2P 4L4",Canada,403-750-4500,http://www.shaw.ca
425,Ms. Nancy Patricia Phillips,CEO & Pres of ViaWest,N/A,N/A,N/A,Shaw Communications Inc.,SJR-B.TO,Communication Services,Telecom Services,"9,500","630â3rd Avenue SW Suite 900 Calgary, AB T2P 4L4",Canada,403-750-4500,http://www.shaw.ca
426,Mr. Chethan  Lakshman,VP of External Affairs,N/A,N/A,N/A,Shaw Communications Inc.,SJR-B.TO,Communication Services,Telecom Services,"9,500","630â3rd Avenue SW Suite 900 Calgary, AB T2P 4L4",Canada,403-750-4500,http://www.shaw.ca
427,"Mr. Thomas J. Pritzker M.B.A., J.D.",Exec. Chairman,163.95k,5.55M,1950,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
428,Mr. Mark Samuel Hoplamazian,"Pres, CEO & Director",360.69k,2.34M,1963,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
429,Ms. Joan  Bottarini,Exec. VP & CFO,595.91k,N/A,1972,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
430,Mr. H. Charles Floyd,Exec. VP & Global Pres of Operations,692.59k,807.92k,1960,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
431,Mr. Mark R. Vondrasek,Exec. VP & Chief Commercial Officer,573.7k,159.93k,1968,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
432,Mr. Bradley  O'Bryan,Sr. VP of Investor Relations & Corp. Fin. and Treasurer,N/A,N/A,N/A,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
433,Mr. Alex D. Zoghlin,"Global Head of Data Strategy, Innovation & Technology",N/A,N/A,1970,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
434,Ms. Margaret C. Egan,"Exec. VP, Gen. Counsel & Sec.",N/A,N/A,1970,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
435,Ms. Kathy  Krenger,Sr. VP of Global Communications,N/A,N/A,N/A,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
436,Mr. Deepak  Sharma,Director of Sales,N/A,N/A,N/A,Hyatt Hotels Corporation,H,Consumer Cyclical,Lodging,"37,000","150 North Riverside Plaza 8th Floor Chicago, IL 60606",United States,312 750 1234,http://www.hyatt.com
437,"Mr. Sean  Boyd F.C.A., FCPA, C.P.A., CPA, C.A.",Vice-Chairman & CEO,4.19M,N/A,1959,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
438,Mr. Ammar  Al-Joundi,Pres,1.38M,N/A,1964,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
439,"Mr. David  Smith C.Dir., M.Sc. Ing., P.Eng.",Sr. VP of Fin. & CFO,968.79k,1.4M,1964,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
440,Mr. Jean  Robitaille,"Sr. VP of Corp. Devel., Bus. Strategy & Technical Services",750.25k,2.14M,1963,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
441,Mr. Dominique  Girard ENG.,Sr. VP of Operations Â Canada & Europe,N/A,N/A,N/A,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
442,Mr. Brian James Christie,VP of Investor Relations,N/A,N/A,N/A,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
443,Mr. Christopher  Vollmershausen L.L.B.,"Sr. VP of Legal, Gen. Counsel & Corp. Sec.",N/A,N/A,N/A,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
444,Ms. Carol-Ann  Plummer-Theriault,"Sr. VP of Sustainability, People & Culture",N/A,N/A,N/A,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
445,"Mr. Marc Hubert Legault Ing, P.Eng., Eng.",Sr. Vice-Pres of Operations - USA & Latin America,N/A,N/A,1960,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
446,"Mr. Guy  Gosselin M.Sc., Ing",Sr. VP of Exploration,N/A,N/A,N/A,Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,"6,210","145 King Street East Suite 400 Toronto, ON M5C 2Y7",Canada,416 947 1212,http://www.agnicoeagle.com
447,Mr. Neil  Rossy,"CEO, Pres & Director",3.09M,N/A,1970,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
448,Ms. Johanne  ChoiniÃ¨re,Chief Operating Officer,1.1M,N/A,N/A,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
449,Mr. Nicolas  Hien,Chief Information Officer,697.07k,N/A,N/A,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
450,Mr. Geoffrey  Robillard,Sr. VP of Import Division,2M,N/A,1959,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
451,"Mr. Michael  Ross A.C.A., F.C.A., FCPA, FCA",Special Advisor,985.77k,N/A,1960,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
452,Mr. Laurence  Rossy,Founder & Chairman Emeritus,N/A,N/A,1943,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
453,Mr. Jean-Philippe  Towner,Chief Financial Officer,N/A,N/A,N/A,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
454,Ms. JosÃ©e  Kouri,Sr. VP of Legal Affairs & Corp. Sec.,N/A,N/A,N/A,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
455,Mr. Jean-Philippe  Durivage-Lachance,VP & Treasurer,N/A,N/A,N/A,Dollarama Inc.,DOL.TO,Consumer Defensive,Discount Stores,,"5805 Royalmount Avenue Montreal, QC H4P 0A1",Canada,N/A,http://www.dollarama.com
456,Mr. Dax  Dasilva,"Founder, CEO & Corp. Director",2.98k,N/A,1976,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
457,Mr. Jean-Paul  Chauvet,Pres & Corp. Director,283.06k,N/A,1972,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
458,Mr. Brandon Blair Nussey CPA,Chief Financial & Operations Officer,311.83k,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
459,Mr. Jean-David  Saint-Martin,Chief Customer & Revenue Officer,253.11k,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
460,"Mr. Gus  Papageorgiou C.F.A., CFA, M.B.A.",Head of Investor Relations,N/A,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
461,Mr. Daniel Robert Micak,"Exec. VP, Gen. Counsel & Corp. Sec.",N/A,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
462,Bradley  Grill,Director of PR,N/A,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
463,Ms. Lory  Ajamian,Exec. VP of Marketing,N/A,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
464,Ms. Asha  Bakshani,Exec. VP of Fin.,N/A,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
465,Mr. Adrian  Valeriano,Managing Director of EMEA,N/A,N/A,N/A,Lightspeed Commerce Inc.,LSPD,Technology,Software—Application,"1,800","Gare Viger 700 Saint-Antoine Street East Suite 300 Montreal, QC H2Y 1A6",Canada,N/A,http://www.lightspeedhq.com
466,Mr. Mark J. Barrenechea,"Vice Chairman, CEO & CTO",9.91M,10.89M,1965,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
467,"Ms. Madhu  Ranganathan CPA, M.B.A.",Exec. VP & CFO,2.23M,602.7k,1965,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
468,Mr. Gordon Allan Davies,"Exec. VP, Chief Legal & Corp. Devel. Officer, Chief Compliance Officer & Sec.",1.74M,N/A,1962,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
469,Mr. Simon David Harrison,Exec. VP of Enterprise Sales,2.14M,N/A,1970,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
470,Mr. Muhi S. Majzoub,Exec. VP & Chief Product Officer,1.78M,572.79k,1960,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
471,Mr. Howard D. Rosen CPA,Sr. VP & Chief Accounting Officer,N/A,N/A,1964,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
472,Ms. Renee Dione McKenzie,Sr. VP & Chief Information Officer,N/A,N/A,N/A,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
473,Mr. Harry Edward Blount CFA,Sr. VP & Global Head of Investor Relations,N/A,N/A,N/A,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
474,Dr. Louis A. Blatt Ph.D.,Sr. VP & Chief Marketing Officer,N/A,N/A,1962,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
475,Mr. Brian  Sweeney,Exec. VP & Chief HR Officer,N/A,N/A,1965,Open Text Corporation,OTEX,Technology,Software—Application,"14,300","275 Frank Tompa Drive Waterloo, ON N2L 0A1",Canada,519 888 7111,http://www.opentext.com
476,Mr. Patrick  Dovigi,"Founder, Chairman, Pres & CEO",8.54M,N/A,1980,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
477,Mr. Luke  Pelosi,Exec. VP & CFO,1.86M,N/A,1981,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
478,Ms. Mindy B. Gilbert,Exec. VP & Gen. Counsel,988.25k,N/A,1973,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
479,Mr. Greg  Yorston,Exec. VP & COO of Solid Waste,1.87M,N/A,1964,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
480,Ms. Elizabeth Joy Grahek,Exec. VP of Strategic Initiatives,809.75k,N/A,1959,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
481,Mr. Craig  Orenstein,Vice-Pres of Corp. Devel.,N/A,N/A,N/A,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
482,Mr. Richard R. Early,Vice-Pres of HR,N/A,N/A,N/A,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
483,Ms. Julie  Boudreau,Vice-Pres of Treasury,N/A,N/A,N/A,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
484,Mr. Christian James-Wallace Dover,Area Vice-Pres of Infrastructure & Soil Remediation,N/A,N/A,1983,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
485,Mr. Edward Christian Glavina,"Area Vice-Pres of Liquid Waste, United States",N/A,N/A,1966,GFL Environmental Inc.,GFL,Industrials,Waste Management,"15,000","100 New Park Place Suite 500 Vaughan, ON L4K 0H9",Canada,905 326 0101,http://gflenv.com
486,Mr. V. Prem Watsa,"Founder, Chairman & CEO",660.15k,N/A,1950,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
487,Ms. Jennifer J. S. Allen,VP & CFO,1.03M,N/A,1970,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
488,Mr. Peter S. Clarke,VP & COO,1.96M,N/A,1972,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
489,Mr. Vinodh  Loganadhan,VP of Admin. Services,N/A,N/A,N/A,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
490,Mr. Derek  Bulas,Associate VP of Legal,N/A,N/A,N/A,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
491,Mr. John Charles Varnell CPA,VP of Corp. Devel.,N/A,N/A,1957,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
492,Mr. Eric Paul Salsberg,VP of Corp. Affairs & Corp. Sec.,N/A,N/A,1945,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
493,Mr. Andrew Acheson Barnard,Pres of Fairfax Insurance Group,N/A,N/A,1956,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
494,Bruno  Camargo,Pres of Fairfax Brasil,N/A,N/A,N/A,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
495,Mr. Wade Sebastian R. E. Burton CFA,Pres & Chief Investment Officer of Hamblin Watsa Investment Counsel,N/A,N/A,1971,Fairfax Financial Holdings Limited,FFH.TO,Financial Services,Insurance—Property & Casualty,"15,196","95 Wellington Street West Suite 800 Toronto, ON M5J 2N7",Canada,416 367 4941,http://www.fairfax.ca
496,Mr. Eric Richer La Fleche,"Pres, CEO & Non-Independent Director",2.43M,N/A,1962,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
497,Mr. Francois  Thibault,"Exec. VP, CFO & Treasurer",1.05M,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
498,Mr. Marc  Giroux,Exec. VP and Head of Quebec Division & E-Commerce,900.18k,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
499,Mr. Carmine  Fortino,Exec. VP and Head of Ontario Division & National Supply Chain,1.16M,N/A,1959,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
500,Mr. Alain  Champagne,Pres of Jean Coutu Group,992.44k,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
501,Mr. Sam  Bernier,VP of Technology Infrastructure,N/A,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
502,Mr. Simon  Rivet,"VP, Gen. Counsel & Corp. Sec.",N/A,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
503,Ms. Marie-Claude  Bacon,VP of Public Affairs & Communications,N/A,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
504,Mr. Alain  Tadros,VP of Marketing,N/A,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
505,Ms. GeneviÃ¨ve  Bich,VP of HR,N/A,N/A,N/A,Metro Inc.,MRU.TO,Consumer Defensive,Grocery Stores,"90,000","11011 Maurice-Duplessis Boulevard Montreal, QC H1C 1V6",Canada,514 643 1000,http://corpo.metro.ca
506,Mr. Scott Carlyle Balfour,"CEO, Pres & Director",2.5M,191,1964,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
507,"Mr. Gregory W. Blunden F.C.A., FCPA",Chief Financial Officer,1.17M,429.54k,1965,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
508,Mr. Bruce A. Marchand,Chief Legal & Compliance Officer,997.37k,103,N/A,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
509,Mr. Robert R. Bennett C.M.,Pres & CEO of Emera Technologies Inc.,1.21M,N/A,1962,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
510,Mr. Scott  LaFleur,"Acting Mang., Investor Relations",N/A,N/A,N/A,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
511,Ms. Lisa  Merrithew,VP of Communications & Corp. Affairs,N/A,N/A,N/A,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
512,Mr. R. Michael Roberts,Chief HR Officer,N/A,N/A,N/A,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
513,Mr. Richard C. Janega P.Eng.,"COO of Electric Utilities, Canada & Caribbean and CEO of Emera Newfoundland & Labrador",N/A,N/A,N/A,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
514,Mr. Daniel P. Muldoon,Exec. VP of Project Devel. & Operations Support,N/A,N/A,N/A,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
515,Ms. Karen E. Hutt,Exec. VP of Bus. Devel. & Strategy,N/A,N/A,N/A,Emera Incorporated,EMA.TO,Utilities,Utilities—Regulated Electric,,"5151 Terminal Road Halifax, NS B3J 1A1",Canada,902 428 6096,http://www.emera.com
516,"Mr. Anthony Paul Makuch B.Sc., M.B.A., M.Sc., P.Eng.","Pres, CEO & Director",4.04M,N/A,1958,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
517,Mr. David  Soares,Chief Financial Officer,750.03k,N/A,N/A,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
518,"Ms. Natasha Nella Dominica Vaz P. Eng., MBA",Chief Operating Officer,561.48k,N/A,N/A,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
519,Ms. Jennifer Laura Wagner L.L.B.,Exec. VP of Corp. Affairs & Sustainability,894.59k,N/A,1977,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
520,Mr. Eric A. Kallio P.Geo.,Sr. VP of Exploration,502.15k,N/A,N/A,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
521,Mr. Rejean  Labelle,Director of Technology & Innovation,N/A,N/A,N/A,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
522,Mr. Mark E. F. Utting CFA,Sr. VP of Investor Relations,N/A,N/A,N/A,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
523,Ms. Adria  Maillet,Director of Communications,N/A,N/A,N/A,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
524,Mr. Darin Matthew Smith,Sr. VP of Corp. Devel.,N/A,N/A,N/A,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
525,"Dr. Merushe  Verli CPA, C.A., CPA, CPA, -CA, CA",Sr. VP of Bus. Operation Management Systems,N/A,N/A,1963,Kirkland Lake Gold Ltd.,KL,Basic Materials,Gold,,"Royal Bank Plaza Suite 2800 South Tower 200 Bay Street Toronto, ON M5J 2J1",Canada,N/A,http://www.klgold.com
